NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
1,Brasil,1020,Unidades,4,1,Brasil,630,Número de empresas,2021,2021,117037,18.3 Reprodução de materiais gravados em qualquer suporte
1,Brasil,1020,Unidades,4,1,Brasil,630,Número de empresas,2021,2021,117038,18.30-0 Reprodução de materiais gravados em qualquer suporte
1,Brasil,1020,Unidades,249,1,Brasil,630,Número de empresas,2021,2021,117039,"19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis"
1,Brasil,1020,Unidades,2,1,Brasil,630,Número de empresas,2021,2021,117040,19.1 Coquerias
1,Brasil,1020,Unidades,2,1,Brasil,630,Número de empresas,2021,2021,117041,19.10-1 Coquerias
1,Brasil,1020,Unidades,64,1,Brasil,630,Número de empresas,2021,2021,117042,19.2 Fabricação de produtos derivados do petróleo
1,Brasil,1020,Unidades,5,1,Brasil,630,Número de empresas,2021,2021,117043,19.21-7 Fabricação de produtos do refino de petróleo
1,Brasil,1020,Unidades,59,1,Brasil,630,Número de empresas,2021,2021,117044,"19.22-5 Fabricação de produtos derivados do petróleo, exceto produtos do refino"
1,Brasil,1020,Unidades,183,1,Brasil,630,Número de empresas,2021,2021,117045,19.3 Fabricação de biocombustíveis
1,Brasil,1020,Unidades,165,1,Brasil,630,Número de empresas,2021,2021,117046,19.31-4 Fabricação de álcool
1,Brasil,1020,Unidades,18,1,Brasil,630,Número de empresas,2021,2021,117047,"19.32-2 Fabricação de biocombustíveis, exceto álcool"
1,Brasil,1020,Unidades,1638,1,Brasil,630,Número de empresas,2021,2021,117048,20 Fabricação de produtos químicos
1,Brasil,1020,Unidades,324,1,Brasil,630,Número de empresas,2021,2021,117049,20.1 Fabricação de produtos químicos inorgânicos
1,Brasil,1020,Unidades,14,1,Brasil,630,Número de empresas,2021,2021,117050,20.11-8 Fabricação de cloro e álcalis
1,Brasil,1020,Unidades,21,1,Brasil,630,Número de empresas,2021,2021,117051,20.12-6 Fabricação de intermediários para fertilizantes
1,Brasil,1020,Unidades,171,1,Brasil,630,Número de empresas,2021,2021,117052,20.13-4 Fabricação de adubos e fertilizantes
1,Brasil,1020,Unidades,16,1,Brasil,630,Número de empresas,2021,2021,117053,20.14-2 Fabricação de gases industriais
1,Brasil,1020,Unidades,102,1,Brasil,630,Número de empresas,2021,2021,117054,20.19-3 Fabricação de produtos químicos inorgânicos não especificados anteriormente
1,Brasil,1020,Unidades,120,1,Brasil,630,Número de empresas,2021,2021,117055,20.2 Fabricação de produtos químicos orgânicos
1,Brasil,1020,Unidades,2,1,Brasil,630,Número de empresas,2021,2021,117056,20.21-5 Fabricação de produtos petroquímicos básicos
1,Brasil,1020,Unidades,10,1,Brasil,630,Número de empresas,2021,2021,117057,"20.22-3 Fabricação de intermediários para plastificantes, resinas e fibras"
1,Brasil,1020,Unidades,108,1,Brasil,630,Número de empresas,2021,2021,117058,20.29-1 Fabricação de produtos químicos orgânicos não especificados anteriormente
1,Brasil,1020,Unidades,141,1,Brasil,630,Número de empresas,2021,2021,117059,20.3 Fabricação de resinas e elastômeros
1,Brasil,1020,Unidades,97,1,Brasil,630,Número de empresas,2021,2021,117060,20.31-2 Fabricação de resinas termoplásticas
1,Brasil,1020,Unidades,36,1,Brasil,630,Número de empresas,2021,2021,117061,20.32-1 Fabricação de resinas termofixas
1,Brasil,1020,Unidades,8,1,Brasil,630,Número de empresas,2021,2021,117062,20.33-9 Fabricação de elastômeros
1,Brasil,1020,Unidades,18,1,Brasil,630,Número de empresas,2021,2021,117063,20.4 Fabricação de fibras artificiais e sintéticas
1,Brasil,1020,Unidades,18,1,Brasil,630,Número de empresas,2021,2021,117064,20.40-1 Fabricação de fibras artificiais e sintéticas
1,Brasil,1020,Unidades,65,1,Brasil,630,Número de empresas,2021,2021,117065,20.5 Fabricação de defensivos agrícolas e desinfestantes domissanitários
1,Brasil,1020,Unidades,46,1,Brasil,630,Número de empresas,2021,2021,117066,20.51-7 Fabricação de defensivos agrícolas
1,Brasil,1020,Unidades,19,1,Brasil,630,Número de empresas,2021,2021,117067,20.52-5 Fabricação de desinfestantes domissanitários
1,Brasil,1020,Unidades,455,1,Brasil,630,Número de empresas,2021,2021,117068,"20.6 Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal"
1,Brasil,1020,Unidades,104,1,Brasil,630,Número de empresas,2021,2021,117069,20.61-4 Fabricação de sabões e detergentes sintéticos
1,Brasil,1020,Unidades,96,1,Brasil,630,Número de empresas,2021,2021,117070,20.62-2 Fabricação de produtos de limpeza e polimento
1,Brasil,1020,Unidades,255,1,Brasil,630,Número de empresas,2021,2021,117071,"20.63-1 Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal"
1,Brasil,1020,Unidades,193,1,Brasil,630,Número de empresas,2021,2021,117072,"20.7 Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins"
1,Brasil,1020,Unidades,139,1,Brasil,630,Número de empresas,2021,2021,117073,"20.71-1 Fabricação de tintas, vernizes, esmaltes e lacas"
1,Brasil,1020,Unidades,20,1,Brasil,630,Número de empresas,2021,2021,117074,20.72-0 Fabricação de tintas de impressão
1,Brasil,1020,Unidades,34,1,Brasil,630,Número de empresas,2021,2021,117075,"20.73-8 Fabricação de impermeabilizantes, solventes e produtos afins"
1,Brasil,1020,Unidades,322,1,Brasil,630,Número de empresas,2021,2021,117076,20.9 Fabricação de produtos e preparados químicos diversos
1,Brasil,1020,Unidades,47,1,Brasil,630,Número de empresas,2021,2021,117077,20.91-6 Fabricação de adesivos e selantes
1,Brasil,1020,Unidades,36,1,Brasil,630,Número de empresas,2021,2021,117078,20.92-4 Fabricação de explosivos
