ano;id;sexo;faixa_et;idade;escol;av01_sesi;av02_senai;av03_sesi;av04_senai;av05_sesi;av06_senai;regiao;ocupado;faixa_renda;uf;peso_pond
2022;223314;Feminino;45 a 59;48;Médio completo;Nunca ouviu falar;Conhece só de ouvir falar;nan;Boa;nan;Boa;Interior;Não trabalha;NS/NR;SP;2.100982025
2022;223315;Masculino;16 a 24;19;Médio completo;Nunca ouviu falar;Conhece só de ouvir falar;nan;Boa;nan;Boa;Interior;Trabalha;NS/NR;SP;1.788414672
2022;223316;Masculino;16 a 24;24;Médio completo;Nunca ouviu falar;Conhece só de ouvir falar;nan;Boa;nan;Não sabe;Interior;Trabalha;NS/NR;SP;1.788414672
2022;223317;Masculino;45 a 59;44;Médio completo;Nunca ouviu falar;Conhece só de ouvir falar;nan;Ótima;nan;Boa;Interior;Não trabalha;NS/NR;SP;1.788414672
2022;223318;Masculino;25 a 34;30;Médio completo;Nunca ouviu falar;Conhece só de ouvir falar;nan;Boa;nan;Boa;Interior;Não trabalha;NS/NR;SP;1.788414672
2022;223319;Masculino;35 a 44;35;Médio completo;Conhece só de ouvir falar;Conhece mais ou menos;Não sabe;Boa;Não sabe;Boa;Região metropolitana;Trabalha;NS/NR;SP;1.788414672
2022;223320;Feminino;45 a 59;53;Médio completo;Conhece só de ouvir falar;Conhece mais ou menos;Regular;Ótima;Regular;Ótima;Capital;Não trabalha;NS/NR;SP;2.100982025
2022;223321;Masculino;45 a 59;53;Médio completo;Conhece só de ouvir falar;Conhece mais ou menos;Boa;Ótima;Boa;Ótima;Região metropolitana;Trabalha;NS/NR;SP;1.788414672
2022;223322;Feminino;45 a 59;56;Médio completo;Nunca ouviu falar;Conhece mais ou menos;nan;Boa;nan;Boa;Capital;Trabalha;NS/NR;SP;2.100982025
2022;223323;Feminino;25 a 34;30;Médio completo;Conhece bem;Conhece bem;Ótima;Ótima;Boa;Boa;Interior;Trabalha;NS/NR;SP;2.100982025
2022;223324;Feminino;45 a 59;50;Médio completo;Conhece bem;Conhece bem;Boa;Boa;Boa;Boa;Interior;Não trabalha;NS/NR;SP;2.100982025
2022;223325;Feminino;35 a 44;37;Médio completo;Conhece mais ou menos;Conhece bem;Ótima;Ótima;Boa;Ótima;Interior;Não trabalha;NS/NR;SP;2.100982025
2022;223326;Feminino;45 a 59;55;Médio completo;Conhece só de ouvir falar;Conhece bem;Boa;Boa;Não sabe;Boa;Região metropolitana;Não trabalha;NS/NR;SP;2.100982025
2022;223327;Feminino;45 a 59;50;Médio completo;Nunca ouviu falar;Conhece bem;nan;Ótima;nan;Ótima;Capital;Trabalha;NS/NR;SP;2.100982025
